id,name,parent_id,definition
1,信息完整度,,"【分类规则】判断译文是否改变了原文的语义信息。检查：原文中有信息点没译出？译文添加了原文没有的信息？信息顺序或逻辑关系被调换？信息点被替换为另一个？一个信息被拆成多个？多个信息被合并为一个？

【优先级】如果译文存在信息问题（多/少/变/错位），即使同时有语法错误，也应归入本类。信息完整度是最高优先级的维度。

【排除】如果译文完整准确地传达了原文所有信息（无缺失、无多余、无替换、无错位），则不应归入本类，请继续判断语言准确性或流畅度。"
2,语言准确性,,"【分类规则】在确认译文完整准确地传达了原文所有信息的前提下，检查译文是否存在违反英语语法规则的错误。包括：动词形式（时态/语态/主谓一致/非谓语/虚拟语气/情态动词）、词类与虚词（冠词/代词/介词/形副混淆/词性）、词汇与用词（固定搭配/近义词混淆/名词单复数/比较级/数词/拼写/标点）、句法结构（成分缺失或多余/语序/否定/连词/省略/平行结构/倒装）。

【排除】如果译文改变了原文的信息，应优先归入信息完整度而非本类。如果译文语法正确仅表达不自然，应归入流畅度而非本类。"
3,流畅度,,"【分类规则】在确认译文（1）完整准确地传达了原文信息且（2）没有语法错误的前提下，检查译文是否读起来不自然、不地道。核心判断：语法没错，但表达生硬/不地道。

包括：翻译腔（过分拘泥中文结构，读起来生硬）、衔接生硬（句间连接不流畅）、冗余（不必要的重复）、语体失当（风格与语境不匹配）、搭配失谐（语法可接受但习惯搭配不自然）。

【排除】如果译文有语法错误（时态/冠词/搭配等违反语法规则），应归入语言准确性而非本类。如果译文改变了原文信息，应归入信息完整度而非本类。"
10,信息缺失,1,"原文中的信息点（词、短语、分句承载的独立语义单元）未译出，包括完全缺失和部分缺失。部分缺失指修饰语、限定成分、从属信息等附属信息被遗漏，核心信息得以保留。例：""经济发展缓慢""译成""经济发展""→丢失""缓慢""。"
11,信息多余,1,"译文添加了原文中不存在的实质性信息。例：""他去了学校""译成""他去了学校并且吃午饭""→多余""吃午饭""。"
12,信息错位,1,"原文中的信息点均译出，但其顺序或逻辑关系被调换，导致语义关系改变。包括因果颠倒、主次易位、时间顺序错乱等。例：""A导致B""译成""B导致A""→视为错位。"
13,信息误代,1,"原文中的信息点被错误替换为另一个信息点，涵盖一切""A译成B""的情况。包括同级替换、精度变化（具体<->模糊）、范围偏移（扩大/缩小）、张冠李戴。例：""端午""→""春节""；""三月份""→""春季""；""部分学生""→""所有学生""。"
14,信息拆分,1,"原文中一个完整的信息点被拆成两个或多个独立的表述单元，导致原有语义连贯性、逻辑紧密度或强调关系丢失。例：""他既聪明又勤奋""译成""He is smart. He is hardworking.""→丢失了并列强调关系。"
15,信息合并,1,"原文中两个或以上相对独立的信息点被合并为一个紧凑的表述，导致原有的逻辑关系或修饰层次丢失或模糊。例：""他既聪明又勤奋""译成""他聪明勤奋""→丢失了并列强调关系。"
30,翻译腔,3,"译文过分拘泥于源语言的结构或表达习惯，导致不符合目标语言的自然表达方式。译文语法正确但读起来生硬、不地道，带有明显源语言痕迹。例：""We must make the economy develop""（自然表达为 boost the economy）。"
31,衔接生硬,3,"译文在句与句或分句之间的连接不流畅，影响语篇的连贯性。单个句子可能正确但组合起来生硬、跳脱或缺乏逻辑过渡。例：""He was late. Because he missed the bus.""（because从句独立成句，衔接生硬）。"
32,冗余,3,"译文中存在不必要的词语重复、同义反复或可省略的冗余成分，导致表述啰嗦。语法上未违反规则，但有更简洁自然的表达。例：""The reason why he was late is because...""（reason...because语义重复）。"
33,语体失当,3,"译文的语体风格与文本类型、语境或受众不匹配，如口语与书面语混用、正式与随意混用。例：学术论文中将 therefore 译成""所以说""（口语化过强）。"
34,搭配失谐,3,目标语言中词语之间的组合在语法上可以接受，但在习惯用法上不自然或不地道。区别于固定搭配错误（后者违反语法规则）。例：strong rain → heavy rain；make a discussion → have a discussion。
20,动词形式,2,涉及动词的时态、语态、主谓一致、非谓语动词、虚拟语气、情态动词方面的错误。
21,词类与虚词,2,涉及冠词、代词、介词、形容词/副词混淆、词性误用等方面的错误。
22,词汇与用词,2,涉及固定搭配、近义词混淆、名词单复数、比较级、数词、拼写、标点等方面的错误。
23,句法结构,2,涉及句子成分缺失/多余、语序、否定形式、连词/引导词、省略、平行结构、倒装等方面的错误。
200,主谓一致错误,20,"主语与谓语动词在人称、数上不一致，且其时态正确。例：He go to school every day → goes。排除：时态错误优先归入""时态错误""。"
201,时态错误,20,动词时态形式误用，包括与时间状语矛盾、逻辑时间错误，以及完成时/进行时等时态中的分词形态错误。例：I see him yesterday → saw；I have went → gone。
202,语态错误,20,主动语态与被动语态误用，包括被动语态构成中的过去分词形式错误。例：The book wrote by him → was written；He was sat there → seated。
203,非谓语形式错误,20,非谓语动词（不定式、动名词、分词）在充当非谓语成分时的内部形态错误，不涉及前驱词的要求。例：want to going → to go；the man seating there → sitting。
204,非谓语用法错误,20,"非谓语动词作状语、定语、主语、宾语等时的逻辑或句法错误，包括悬垂修饰语。例：Walking home, the rain started（逻辑主语不一致）。"
205,虚拟语气错误,20,"虚拟语气中的形式（if条件句中的 were, had done, would have done）或用法错误。例：I wish he is here → were；If I was you → were。"
206,情态动词错误,20,"情态动词（can, could, may, might, must, should等）意义或形式（时态、否定）错误。例：He can helps → help；She must to go → must go。"
210,冠词错误,21,"冠词 a/an/the 缺失、多余或误用。不包括因名词可数性误判导致的冠词问题（归入""名词单复数错误""）。例：She is teacher → a teacher；I like the music（泛指误用 the）。"
211,代词错误,21,代词格（主/宾/所有格）、数、性、指代不明或与先行词不一致，包括比较结构中的代词格错误。例：Me went → I；He is taller than me 正式文体中应为 than I。
212,介词错误,21,介词多余、缺失或基本意义（时间、地点、方向等）误用。不涉及固定搭配要求。例：go to home → go home（to多余）；sit in the desk → at the desk。
213,形容词/副词混淆,21,形容词与副词相互误用。例：He runs quick → quickly；She feels badly → bad。
214,词性错误,21,非形副词性的词性误用，如名词当动词、形容词当名词等。例：He friend me（名词当动词）；The richs → the rich。
220,固定搭配错误,22,动宾、介宾、形介、名介等固定搭配中词语选择错误，包括动词/形容词/介词后要求特定非谓语形式的错误。例：depend at → depend on；enjoy to read → enjoy reading；interested of → interested in。
221,近义词/形近词混淆,22,意义相近或拼写相似的词误用。例：affect/effect；rise/raise；lie/lay。
222,名词单复数错误,22,名词可数性误判、单复数形式错误，以及因可数性误判造成的量词缺失或冠词多余。例：two child → children；a news → a piece of news。
223,比较级/最高级错误,22,比较级/最高级形式（如 more easier）或用法（than缺失、比较对象不一致）错误。不包括比较结构中的代词格错误。
224,数词错误,22,基数词、序数词、分数、倍数等数词形式及用法错误。例：two thousands → two thousand；hundred of → hundreds of。
225,拼写错误,22,单词拼写错误。例：recieve → receive。
226,标点错误,22,"标点符号误用且影响句子结构或语法关系。例：逗号拼接句 It is nice, I like it；缺少句号导致粘连。"
230,结构缺失,23,句子必要成分缺失（主语、谓语、宾语、系动词等），且明显无省略意图，导致句子结构不完整。例：Because he was tired 单独成句缺主句；She wants 缺宾语。
231,结构多余,23,"句子多余成分，如双主语、冗余重复、不必要的代词等。但不包括介词多余（归""介词错误""）和关系从句中多余代词（归""连词/引导词错误""）。例：My father he is kind。"
232,语序错误,23,"单词、短语或从句的一般顺序错误。不包括应使用倒装结构的语境（归""倒装错误""）。例：a red big car → big red car；He goes often to the park → often goes。"
233,否定错误,23,否定形式（not/no混用）、否定词位置或双重否定误用。不包括含有情态动词的否定形式。例：I not like it → don't like；I don't have nothing → anything。
