敦煌莫高窟 (Mogao Grottoes) 作为世界文化遗产，其壁画与彩塑不仅展现了古代丝绸之路的繁荣景象，也体现了东西方文化的交融与佛教艺术的辉煌，因而被誉为 “sentence,origin
中国的创新正以前所未有的速度蓬勃发展。,2016-06-1
为了在科学技术上尽快赶超世界发达国家，中国近年来大幅度增加了研究开发资金。,2016-06-1
中国的大学和研究所正在积极开展创新研究，这些研究覆盖了从大数据到生物化学、 从新能源到机器人等高科技领域。,2016-06-1
它们还与各地的科技园合作，使创新成果商业化。,2016-06-1
与此同时，无论在产品还是商业模式上，中国企业家也在努力争做创新的先锋，以适应国内外消费市场不断变化和增长的需求。,2016-06-1
旗袍 （qipao） 是一种雅致的中国服装，源于中国的满族 （ManchuNationality）。,2016-06-2
在清代，旗袍是王室女性穿着的宽松长袍。,2016-06-2
上世纪 20 年代，受西方服饰影响，旗袍发生了一些变化。,2016-06-2
袖口（cuffs）变窄，袍身变短。,2016-06-2
这些变化使女性美得以充分展现。,2016-06-2
如今，旗袍经常出现在世界级的时装秀上。,2016-06-2
中国女性出席重要社交聚会时，旗袍往往是她们的首选。,2016-06-2
很多中国新娘也会选择旗袍作为结婚礼服。,2016-06-2
一些有影响的人士甚至建议将旗袍作为中国女性的民族服饰。,2016-06-2
深圳是中国广东省一座新开发的城市。,2016-06-3
在改革开放之前，深圳不过是一个渔村，仅有三万多人。,2016-06-3
20 世纪 80 年代，中国政府创建了深圳经济特区，作为实施社会主义市场经济的试验田。,2016-06-3
如今，深圳人口已经超过 1000 万，整个城市发生了巨大的变化。,2016-06-3
到 2014 年，深圳的人均（per-capita）GDP 已达 25000 美元，相当于世界上一些发达国家的水平。,2016-06-3
就综合经济实力而言，深圳居于中国顶尖城市之列。,2016-06-3
由于其独特的地位，深圳也是国内外企业家创业的理想之地。,2016-06-3
随着生活水平的提高，度假在中国人生活中的作用越来越重要。,2016-12-1
过去，中国人的时间主要花在谋生上，很少有机会外出旅行。,2016-12-1
然而，近年来中国旅游业发展迅速。,2016-12-1
经济的繁荣和富裕中产阶级的出现，引发了一个前所未有的旅游热潮。,2016-12-1
中国人不仅在国内旅游，出国旅游也越来越普遍。,2016-12-1
2016 年国庆节假日期间，旅游消费总计超过 4000 亿元。,2016-12-1
据世界贸易组织估计，2020 年中国将成为世界上最大的旅游国，在未来几年里将成为出境旅游支出增长最快的国家。,2016-12-1
随着中国经济的蓬勃发展，学汉语的人数迅速增加，使汉语成了世界上人们最爱学的语言之一。,2016-12-2
近年来，中国大学在国际上的排名也有了明显的提高。,2016-12-2
由于中国教育的巨大进步，中国成为最受海外学生欢迎的留学目的地之一就不足为奇了。,2016-12-2
2015 年，近 40 万国际学生蜂拥来到中国市场。,2016-12-2
他们学习的科目不再限于中国语言和文化，而包括科学与工程。,2016-12-2
在全球教育市场上，美国和英国仍占主导地位，但中国正在迅速赶上。,2016-12-2
农业是中国的一个重要产业，从业者超过 3 亿。,2016-12-3
中国农业产量全球第一，主要生产水稻、小麦和豆类。,2016-12-3
虽然中国的农业用地仅占世界的百分之十，但为世界百分之二十的人口提供了粮食。,2016-12-3
中国 7700 年前开始种植水稻。,2016-12-3
早在使用机械和化肥之前，勤劳和富有创造性的中国农民就已经采用各种各样的方法来增加农作物产量。,2016-12-3
中国农业最新的发展是推进有机农业。,2016-12-3
有机农业可以同时服务于多种目的，包括食品安全、大众健康和可持续发展。,2016-12-3
明朝统治中国 276 年，被人们描绘成人类历史上治理有序、社会稳定的最伟大的时代之一。,2017-06-1
这一时期，手工业的发展促进了市场经济和城市化。,2017-06-1
大量商品，包括酒和丝绸，都在市场销售。,2017-06-1
同时，还进口许多外国商品，如时钟和烟草。,2017-06-1
北京、南京、扬州、苏州这样的大商业中心相继形成。,2017-06-1
也是在明代，由郑和率领的船队曾到印度洋进行了七次大规模探险航行。,2017-06-1
还值得一提的是，中国文学的四大经典名著中有三部写于明代。,2017-06-1
宋朝始于 960 年，一直延续到 1279 年。,2017-06-2
这一时期，中国经济大幅增长，成为世界上最先进的经济体，科学、技术、哲学和数学蓬勃发展。,2017-06-2
宋代中国是世界历史上首先发行纸币的国家。,2017-06-2
宋朝还最早使用火药并发明了活字（movable-type）印刷。,2017-06-2
人口增长迅速，越来越多的人住进城市，那里有热闹的娱乐场所。,2017-06-2
社会生活多种多样。,2017-06-2
人们聚集在一起观看和交易珍贵艺术品。,2017-06-2
宋朝的政府体制在当时也是先进的。,2017-06-2
政府官员均通过竞争性考试选拔任用。,2017-06-2
唐朝始于 618 年，终于 907 年，是中国历史上最灿烂的时期。,2017-06-3
经过近三百年的发展，唐代中国成为世界上最繁荣的强国，其首都长安是当时世界上最大的都市。,2017-06-3
这一时期，经济发达、商业繁荣、社会秩序稳定，甚至边境也对外开放。,2017-06-3
随着城市化和财富的增加，艺术和文学也繁荣起来。,2017-06-3
李白和杜甫是以作品简洁自然而著称的诗人。,2017-06-3
他们的诗歌打动了学者和普通人的心。,2017-06-3
即使在今天，他们的许多诗歌仍广为儿童及成人阅读背诵。,2017-06-3
太湖是中国东部的一个淡水湖，占地面积 2250 平方公里，是中国第三大淡水湖，仅次于鄱阳和洞庭。,2017-12-1
太湖约有 90个岛屿，大小从几平方米到几平方公里不等。,2017-12-1
太湖以其独特的 “太湖石”而闻名，太湖石常用于装饰中国传统园林。,2017-12-1
太湖也以高产的捕鱼业闻名。,2017-12-1
自上世纪70 年代后期以来，捕捞鱼蟹对沿湖的居民来说极为重要，并对周边地区的经济作出了重大贡献。,2017-12-1
"太湖地区是中国陶瓷 (ceramics )业基地之一 ,其中宜兴的陶瓷厂家生产举世闻名的宜兴紫砂壶。",2017-12-1
"青海湖位于海拔 3,205 米、青海省省会西宁以西约 100 公里处，是中国最大的咸水湖，面积 4,317 平方公里，最深处 25.5 米，有 23 条河注入湖中，其中大部分是季节性的。",2017-12-2
百分之八十的湖水源于五条主要河流。,2017-12-2
青海湖位于跨越亚洲的几条候鸟迁徙路线的交叉处。,2017-12-2
许多鸟类把青海湖作为迁徙过程中的暂息地。,2017-12-2
"湖的西侧是著名的“鸟岛”,吸引着来自世界各地的观鸟者。",2017-12-2
每年夏天，游客们也来这里观看国际自行车比赛。,2017-12-2
洞庭湖位于湖南省东北部，面积很大，但湖水很浅。,2017-12-3
洞庭湖是长江的蓄洪池，湖的大小很大程度上取决于季节变化。,2017-12-3
